Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-0.15713473,999.0,0.0,0.0,1.0
20000,1.4189383,-0.16980663,999.0,0.0,0.0,1.0
30000,1.4186438,-0.037976205,999.0,0.0,0.0,1.0
40000,1.4185904,-0.047516685,999.0,-0.21428571428571427,-0.21428571428571427,1.0
50000,1.4177756,-0.0042966725,999.0,0.0,0.0,1.0
60000,1.4176077,0.007083863,999.0,-0.4090909090909091,-0.4090909090909091,1.0
70000,1.4172813,-0.009815292,999.0,0.0,0.0,1.0
80000,1.4171385,0.015842646,999.0,0.0,0.0,1.0
90000,1.4168441,0.02939811,999.0,-0.7272727272727273,-0.7272727272727273,1.0
100000,1.4166178,0.012456633,999.0,-0.6428571428571429,-0.6428571428571429,1.0
110000,1.416794,0.012894742,999.0,-2.9166666666666665,-2.9166666666666665,1.0
120000,1.4169897,0.007486197,999.0,0.0,0.0,1.0
130000,1.4171981,0.0038984984,999.0,0.0,0.0,1.0
140000,1.417473,0.0063548847,999.0,-0.125,-0.125,1.0
150000,1.4173398,0.01496079,999.0,0.25853649052706634,0.25853649052706634,1.0
160000,1.4169809,-0.004363286,999.0,-1.7756742068699427,-1.7756742068699427,1.0
170000,1.4170483,-0.0052442728,999.0,-0.25,-0.25,1.0
180000,1.4173596,-0.0025135868,999.0,-0.8181818181818182,-0.8181818181818182,1.0
190000,1.4175192,0.0072171018,999.0,0.0,0.0,1.0
200000,1.4187814,-0.010640627,999.0,-0.125,-0.125,1.0
210000,1.4187814,-0.01791334,999.0,0.0,0.0,1.0
220000,1.418619,-0.012752572,999.0,0.0,0.0,1.0
230000,1.4186038,-0.02148152,999.0,0.0,0.0,1.0
240000,1.4184574,-0.015133226,999.0,0.0,0.0,1.0
250000,1.4184353,-0.013895251,999.0,0.2010899611881801,0.2010899611881801,1.0
260000,1.4172944,-0.006791363,999.0,-0.4166666666666667,-0.4166666666666667,1.0
270000,1.4170552,-0.013567105,999.0,0.0,0.0,1.0
280000,1.4171082,-0.0025574798,999.0,0.0,0.0,1.0
290000,1.4171435,0.004378017,999.0,0.0,0.0,1.0
300000,1.4172571,0.003149617,999.0,0.010750121691010216,0.010750121691010216,1.0
310000,1.4173311,0.00418332,999.0,0.0,0.0,1.0
320000,1.4169203,0.0014360307,999.0,-0.20833333333333334,-0.20833333333333334,1.0
330000,1.4165262,0.00858484,999.0,-0.045454545454545456,-0.045454545454545456,1.0
340000,1.4161468,0.008169858,999.0,0.0,0.0,1.0
350000,1.4155909,0.010616687,999.0,0.0,0.0,1.0
360000,1.4154228,0.0057742,999.0,0.03722829168493098,0.03722829168493098,1.0
370000,1.4149811,0.01431196,999.0,0.0,0.0,1.0
380000,1.4150211,0.009336741,999.0,0.0,0.0,1.0
390000,1.4151617,0.015111062,999.0,0.0,0.0,1.0
400000,1.4152328,0.021489251,999.0,-0.35714285714285715,-0.35714285714285715,1.0
410000,1.415764,0.017533448,999.0,0.0,0.0,1.0
420000,1.415764,0.021669962,999.0,0.0,0.0,1.0
430000,1.4141284,0.022345483,999.0,0.0,0.0,1.0
440000,1.4140742,0.01831441,999.0,-0.9166666666666666,-0.9166666666666666,1.0
450000,1.4131671,0.020927068,999.0,0.1902554685419256,0.1902554685419256,1.0
460000,1.4130782,0.008935402,999.0,0.0,0.0,1.0
470000,1.4125729,0.018476035,999.0,0.0,0.0,1.0
480000,1.4124582,-0.016992828,999.0,-3.272727272727273,-3.272727272727273,1.0
490000,1.4122171,0.015425784,999.0,0.0,0.0,1.0
500000,1.4121095,0.021152532,999.0,0.033774559696515404,0.033774559696515404,1.0
510000,1.4111086,0.01682671,999.0,0.0,0.0,1.0
520000,1.4103935,0.024033641,999.0,0.0,0.0,1.0
530000,1.4086678,0.0149844345,999.0,-0.16666666666666666,-0.16666666666666666,1.0
540000,1.4070123,0.018918995,999.0,-0.09090909090909091,-0.09090909090909091,1.0
550000,1.4065032,0.01989234,999.0,-0.07142857142857142,-0.07142857142857142,1.0
560000,1.4057941,0.019838998,999.0,0.0,0.0,1.0
570000,1.4057959,0.013506226,999.0,-0.09090909090909091,-0.09090909090909091,1.0
580000,1.4057839,0.014220679,999.0,-0.42857142857142855,-0.42857142857142855,1.0
590000,1.4060236,0.015427733,999.0,-0.4583333333333333,-0.4583333333333333,1.0
600000,1.4069518,0.019907907,999.0,0.0,0.0,1.0
610000,1.4067153,0.015029212,999.0,0.0,0.0,1.0
620000,1.4048089,0.01635031,999.0,0.0,0.0,1.0
630000,1.4048089,0.016661938,999.0,0.0,0.0,1.0
640000,1.4022828,0.014532733,999.0,0.0,0.0,1.0
650000,1.4022216,0.01638936,999.0,0.0,0.0,1.0
660000,1.4007409,0.009004724,999.0,0.016442283987998962,0.016442283987998962,1.0
670000,1.4005611,0.014751543,999.0,0.0,0.0,1.0
680000,1.3998506,0.014361436,999.0,0.011871565133333206,0.011871565133333206,1.0
690000,1.3996962,0.013065097,999.0,0.0,0.0,1.0
