Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
250000,1.4190465,0.026662152,999.0,0.40572122579906134,0.40572122579906134,1.0
260000,1.4183123,0.029150302,999.0,-0.004799991706386208,-0.004799991706386208,1.0
270000,1.4182808,0.03251263,999.0,0.17878199636470526,0.17878199636470526,1.0
280000,1.4181426,0.03472495,999.0,0.1480000008828938,0.1480000008828938,1.0
290000,1.4182299,0.032366958,999.0,0.1540000001434237,0.1540000001434237,1.0
300000,1.4190146,0.03208849,999.0,0.1466000009793788,0.1466000009793788,1.0
310000,1.4189287,0.029241722,999.0,0.15000000123400242,0.15000000123400242,1.0
320000,1.4166167,0.030673038,999.0,-1.1548000186216085,-1.1548000186216085,1.0
330000,1.4166167,0.030730512,999.0,0.21555220899172128,0.21555220899172128,1.0
340000,1.4174525,0.024443418,999.0,0.2198269649874419,0.2198269649874419,1.0
350000,1.4174746,0.030495513,999.0,0.2434854254126549,0.2434854254126549,1.0
360000,1.4172611,0.024568964,999.0,0.540513111720793,0.540513111720793,1.0
370000,1.4172331,0.02365901,999.0,0.4338150576222688,0.4338150576222688,1.0
380000,1.4168954,0.03319317,999.0,0.29942897325381634,0.29942897325381634,1.0
390000,1.4168402,0.033364914,999.0,0.46038635226432234,0.46038635226432234,1.0
400000,1.4168394,0.032065343,999.0,0.17518272968009113,0.17518272968009113,1.0
410000,1.4168383,0.03055731,999.0,0.37638500914908946,0.37638500914908946,1.0
420000,1.4157932,0.036421183,999.0,0.7155915233306587,0.7155915233306587,1.0
430000,1.4153996,0.03473883,999.0,0.7822572339326144,0.7822572339326144,1.0
440000,1.4147416,0.039698623,999.0,1.0275710955495014,1.0275710955495014,1.0
450000,1.4144155,0.041402675,999.0,1.0776768753072248,1.0776768753072248,1.0
460000,1.4131105,0.053765476,999.0,2.3095049334689977,2.3095049334689977,1.0
470000,1.4122313,0.046314318,999.0,2.0742936223279687,2.0742936223279687,1.0
480000,1.4104071,0.05618261,999.0,2.7902474127709866,2.7902474127709866,1.0
490000,1.4088305,0.032945722,999.0,4.644727614847943,4.644727614847943,1.0
500000,1.4079851,0.093142055,999.0,4.575020791264251,4.575020791264251,1.0
510000,1.4070948,0.08456811,999.0,2.7734129259828477,2.7734129259828477,1.0
520000,1.4065535,0.1592226,999.0,6.7467908439226445,6.7467908439226445,1.0
530000,1.4057997,0.20768519,999.0,6.9686515422537925,6.9686515422537925,1.0
540000,1.4046649,0.23443086,999.0,6.693828381458298,6.693828381458298,1.0
550000,1.4026318,0.3048524,999.0,7.608473759144545,7.608473759144545,1.0
560000,1.401437,0.3451964,999.0,11.09200402572751,11.09200402572751,1.0
570000,1.3985449,0.39358383,999.0,8.8298382001929,8.8298382001929,1.0
580000,1.3977507,0.3569297,999.0,8.284497459931298,8.284497459931298,1.0
590000,1.3951079,0.48899984,999.0,12.437107590166852,12.437107590166852,1.0
600000,1.3945915,0.47611636,999.0,12.185358622204513,12.185358622204513,1.0
610000,1.3919202,0.6212026,999.0,14.798281847452746,14.798281847452746,1.0
620000,1.3915668,0.6065391,999.0,15.220782892825081,15.220782892825081,1.0
630000,1.3883287,0.6616627,999.0,16.06087233675644,16.06087233675644,1.0
640000,1.3882574,0.7315114,999.0,17.895545720960946,17.895545720960946,1.0
650000,1.3864485,0.8455822,999.0,17.50688084338326,17.50688084338326,1.0
660000,1.3864485,0.8500573,999.0,18.50483411932364,18.50483411932364,1.0
670000,1.3841951,0.95805866,999.0,18.86709449067712,18.86709449067712,1.0
680000,1.3841604,0.8793421,999.0,17.087072693463416,17.087072693463416,1.0
690000,1.3813477,1.0731113,999.0,20.15134443868883,20.15134443868883,1.0
700000,1.3811091,1.1088369,999.0,23.59699971084483,23.59699971084483,1.0
710000,1.377574,1.1361405,999.0,18.548685619561002,18.548685619561002,1.0
720000,1.3769858,1.1314325,999.0,19.539354076981546,19.539354076981546,1.0
730000,1.375099,1.2084996,999.0,22.58977832570672,22.58977832570672,1.0
740000,1.3746115,1.2441522,999.0,19.983075758349152,19.983075758349152,1.0
750000,1.3730997,1.3981946,999.0,25.159964167885484,25.159964167885484,1.0
760000,1.3725358,1.4451435,999.0,26.4076108539477,26.4076108539477,1.0
770000,1.3707285,1.3779463,999.0,19.100752050289884,19.100752050289884,1.0
780000,1.3698139,1.4924076,999.0,25.904619177337736,25.904619177337736,1.0
790000,1.3677844,1.5779874,999.0,28.682985979225485,28.682985979225485,1.0
800000,1.3664302,1.6132517,999.0,23.47239769469015,23.47239769469015,1.0
810000,1.3649741,1.625344,999.0,25.536196176335217,25.536196176335217,1.0
820000,1.3637275,1.8132159,999.0,28.052688226290048,28.052688226290048,1.0
830000,1.362467,1.7477891,999.0,23.230577562190593,23.230577562190593,1.0
840000,1.3611318,1.8692764,999.0,27.440751254931094,27.440751254931094,1.0
850000,1.3599828,1.8863907,999.0,29.122522165626286,29.122522165626286,1.0
860000,1.3583909,1.959596,999.0,29.01043237792328,29.01043237792328,1.0
870000,1.3573163,2.0693543,999.0,31.504052153462546,31.504052153462546,1.0
880000,1.3553823,2.1550298,999.0,32.342920628283174,32.342920628283174,1.0
890000,1.3546656,2.1386237,999.0,31.428434199560435,31.428434199560435,1.0
900000,1.3529269,2.2349026,999.0,32.0326615665108,32.0326615665108,1.0
910000,1.3522891,2.2644126,999.0,34.53163224523887,34.53163224523887,1.0
920000,1.3501486,2.3679948,999.0,31.3143872641027,31.3143872641027,1.0
930000,1.3497753,2.247098,999.0,28.053873649518938,28.053873649518938,1.0
